1,0.339121775,6,,,aver,var,pearsonr,p-value,spearmanr,p-value
174,0.545199196,4,,,,,,,,
175,0.556557536,3,,,,,,,,
176,0.617697814,5,,,,,,,,
177,0.568697061,5,,,,,,,,
178,0.481346464,4,,,,,,,,
179,0.428239556,4,,,,,,,,
180,0.49977299,4,,,,,,,,
181,0.568533966,3,,,,,,,,
182,0.374204753,6,,,,,,,,
183,0.378522594,7,,,,,,,,
184,0.450267718,5,,,,,,,,
185,0.573193367,4,,,,,,,,
186,0.556557536,6,,,,,,,,
187,0.545199196,6,,,,,,,,
188,0.563707565,8,,,,,,,,
189,0.403311418,8,,,,,,,,
190,0.528678812,7,,,,,,,,
191,0.394137773,8,,,,,,,,
192,0.422231182,8,,,,,,,,
193,0.374776708,5,,,,,,,,
194,0.415535363,3,,,,,,,,
195,0.825268587,3,,,,,,,,
196,0.292837426,7,,,,,,,,
197,0.355970088,7,,,,,,,,
198,0.396928673,5,,,,,,,,
199,0.495255837,3,,,,,,,,
200,0.462274423,7,,,,,,,,
201,0.578795181,5,,,,,,,,
202,0.503773571,6,,,,,,,,
203,0.559874386,8,,,,,,,,
204,0.6128353,3,,,,,,,,
205,0.44945554,8,,,,,,,,
206,0.485092273,2,,,,,,,,
207,0.399620137,8,,,,,,,,
208,0.513515105,4,,,,,,,,
209,0.461790496,7,,,,,,,,
210,0.561192447,2,,,,,,,,
211,0.57309533,6,,,,,,,,
212,0.540057205,5,,,,,,,,
213,0.532294476,5,,,,,,,,
214,0.542786657,2,,,,,,,,
215,0.565210951,4,,,,,,,,
216,0.417264567,6,,,,,,,,
217,0.559310988,6,,,,,,,,
218,0.563947911,1,,,,,,,,
219,0.477286893,2,,,,,,,,
220,0.459291684,4,,,,,,,,
221,0.463296546,5,,,,,,,,
222,0.465454889,5,,,,,,,,
223,0.651216728,4,,,,,,,,
224,0.562991912,6,,,,,,,,
225,0.646171227,1,,,,,,,,
226,0.804363055,1,,,,,,,,
227,0.618083255,6,,,,,,,,
228,0.539220076,7,,,,,,,,
229,0.507608886,6,,,,,,,,
230,0.542648403,9,,,,,,,,
231,0.45249819,8,,,,,,,,
232,0.578913862,7,,,,,,,,
233,0.63495496,2,,,,,,,,
234,0.483647149,7,,,,,,,,
235,0.409482324,6,,,,,,,,
236,0.410849536,8,,,,,,,,
237,0.369393604,8,,,,,,,,
238,0.62478787,2,,,,,,,,
239,0.480901309,5,,,,,,,,
240,0.486368164,7,,,,,,,,
241,0.494158303,4,,,,,,,,
242,0.556474577,8,,,,,,,,
243,0.519174239,2,,,,,,,,
244,0.42959701,4,,,,,,,,
245,0.581078919,6,,,,,,,,
246,0.454245268,8,,,,,,,,
247,0.46339878,6,,,,,,,,
248,0.427760329,3,,,,,,,,
249,0.481179028,7,,,,,,,,
250,0.496650913,5,,,,,,,,
251,0.460458759,7,,,,,,,,
252,0.434585213,6,,,,,,,,
253,0.442532385,7,,,,,,,,
254,0.505418368,7,,,,,,,,
255,0.454477569,7,,,,,,,,
256,0.394124239,4,,,,,,,,
257,0.489076464,5,,,,,,,,
258,0.485099625,5,,,,,,,,
259,0.528360838,3,,,,,,,,
260,0.535057749,3,,,,,,,,
261,0.436875176,6,,,,,,,,
262,0.513180595,6,,,,,,,,
263,0.536628805,8,,,,,,,,
264,0.537446923,5,,,,,,,,
265,0.461301794,3,,,,,,,,
266,0.43817729,4,,,,,,,,
267,0.442961434,6,,,,,,,,
268,0.700770567,5,,,,,,,,
269,0.503734278,4,,,,,,,,
270,0.52025261,8,,,,,,,,
271,0.605511489,8,,,,,,,,
272,0.722284995,7,,,,,,,,
273,0.566170098,7,,,,,,,,
274,0.706301207,8,,,,,,,,
275,0.596604645,4,,,,,,,,
276,0.505768102,5,,,,,,,,
277,0.639969863,4,,,,,,,,
278,0.520196388,3,,,,,,,,
279,0.684553854,6,,,,,,,,
280,0.547271905,7,,,,,,,,
281,0.675557556,8,,,,,,,,
282,0.458699254,7,,,,,,,,
283,0.602711926,7,,,,,,,,
284,0.543288774,7,,,,,,,,
285,0.743950878,3,,,,,,,,
286,0.615451371,9,,,,,,,,
287,0.605210225,7,,,,,,,,
288,0.631871785,7,,,,,,,,
289,0.713062045,8,,,,,,,,
290,0.540781712,6,,,,,,,,
291,0.634845452,7,,,,,,,,
292,0.605888887,6,,,,,,,,
293,0.624742579,8,,,,,,,,
294,0.647803819,4,,,,,,,,
295,0.590954978,5,,,,,,,,
296,0.600604773,5,,,,,,,,
297,0.534039036,6,,,,,,,,
298,0.624194707,6,,,,,,,,
299,0.470939824,7,,,,,,,,
300,0.529984035,5,,,,,,,,
301,0.6750382,5,,,,,,,,
302,0.498601522,4,,,,,,,,
303,0.695190371,7,,,,,,,,
304,0.491943959,7,,,,,,,,
305,0.506145525,8,,,,,,,,
306,0.617662108,3,,,,,,,,
307,0.680286533,8,,,,,,,,
308,0.601352691,7,,,,,,,,
309,0.592244465,6,,,,,,,,
310,0.580286874,8,,,,,,,,
311,0.434572945,8,,,,,,,,
312,0.457273553,3,,,,,,,,
313,0.663179865,4,,,,,,,,
314,0.64788948,4,,,,,,,,
315,0.589409844,7,,,,,,,,
316,0.522807655,6,,,,,,,,
317,0.487108643,7,,,,,,,,
318,0.863138966,8,,,,,,,,
319,0.755519179,2,,,,,,,,
320,0.672200533,7,,,,,,,,
321,0.547762166,5,,,,,,,,
322,0.387039526,5,,,,,,,,
323,0.703001301,4,,,,,,,,
324,0.553409405,6,,,,,,,,
325,0.74106417,1,,,,,,,,
326,0.506653242,7,,,,,,,,
327,0.5783267,7,,,,,,,,
328,0.661453104,6,,,,,,,,
329,0.673379219,7,,,,,,,,
